category,series-0
Adtech (advertising),2
Agronegócio,43
Autotech (Automotivo),1
Beauty Tech (moda e beleza),1
Big data,2
CRM,7
Casa e família,2
Cloud computing,4
Comunicação e mídia,5
Construção civil,2
Desenvolvimento de software,17
E-commerce / marketplace,8
Educação,14
Entretenimento,3
Eventstech (Eventos),4
Finanças,30
Fleettech,3
Foodtech (Alimentação),4
Games,1
Gestão,19
Govtech (gestão pública),3
Greentech (gestão de resíduos),1
HRtech (Recursos humanos),5
Hardware,1
Imobiliário,2
Impressão 3D,1
Indústria,3
Insurtech (seguros),4
Inteligência Artificial,3
Lawtech (direito),7
Logística e mobilidade urbana,10
Martech,13
Meio ambiente,1
Outros,1
Pettech (animal),2
Retailtech (varejo),7
Salestech (vendas),1
Saúde e bem-estar,22
Serviços profissionais,2
SexTech,2
Smart Cities,1
Social tech (impacto social),3
Tecnologia da Informação,1
Óleo e gás,1